date,manufacturer,segment,brand,acv,price,sales_units
2023-03-24,GlaxoSniffKline,Adult,Parobontax,0.9886112210918371,10.81649357432267,2930
2023-03-24,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-03-24,Precter & Jangle,Adult,Cwest Pro-Heels,0.8726479917001202,13.33771584439017,2823
2023-03-24,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,13.395815455537416,0
2023-03-24,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.8492618911231624,18.685282602835496,0
2023-03-24,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.8961514464486859,11.00348863393204,837
2023-03-24,GlaxoSniffKline,Kids,White Star,0.9380451485672154,10.637074491511889,1241
2023-03-24,GlaxoSniffKline,Kids,Ninions,0.9627801504858772,16.194470708156818,881
2023-03-24,Precter & Jangle,Kids,Cwest HyperMan,0.9102085644084367,16.597357598006877,320
2023-03-24,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-03-24,Smolgate-Jalmolive,Kids,Smolgate Total,0.8135876256160828,15.780460959552888,968
2023-03-24,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,10.211607996680023,0
2023-03-31,GlaxoSniffKline,Adult,Parobontax,0.9022655105288105,10.81649357432267,2597
2023-03-31,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-03-31,Precter & Jangle,Adult,Cwest Pro-Heels,0.9099267513952415,13.33771584439017,3154
2023-03-31,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,14.884239395041575,0
2023-03-31,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.985300612484408,18.685282602835496,1
2023-03-31,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.9780887976566797,11.00348863393204,1028
2023-03-31,GlaxoSniffKline,Kids,White Star,0.9784969953203717,10.637074491511889,1391
2023-03-31,GlaxoSniffKline,Kids,Ninions,0.8090557572512003,16.194470708156818,514
2023-03-31,Precter & Jangle,Kids,Cwest HyperMan,0.8685599960295409,16.597357598006877,282
2023-03-31,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-03-31,Smolgate-Jalmolive,Kids,Smolgate Total,0.8659429113811398,15.780460959552888,1118
2023-03-31,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,10.211607996680023,0
2023-04-07,GlaxoSniffKline,Adult,Parobontax,0.995248741079595,10.81649357432267,2890
2023-04-07,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-04-07,Precter & Jangle,Adult,Cwest Pro-Heels,0.9693837755967896,13.33771584439017,3348
2023-04-07,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,14.884239395041575,0
2023-04-07,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.8662803537824803,18.685282602835496,0
2023-04-07,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.9044771755002612,11.00348863393204,889
2023-04-07,GlaxoSniffKline,Kids,White Star,0.8050276017110831,10.637074491511889,966
2023-04-07,GlaxoSniffKline,Kids,Ninions,0.8414356078612648,16.194470708156818,680
2023-04-07,Precter & Jangle,Kids,Cwest HyperMan,0.8156117251490521,16.597357598006877,261
2023-04-07,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-04-07,Smolgate-Jalmolive,Kids,Smolgate Total,0.8363562006086416,15.780460959552888,1135
2023-04-07,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,11.743349196182022,0
2023-04-14,GlaxoSniffKline,Adult,Parobontax,0.8161672046953664,10.81649357432267,2454
2023-04-14,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-04-14,Precter & Jangle,Adult,Cwest Pro-Heels,0.8678013310601485,13.33771584439017,3191
2023-04-14,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,14.884239395041575,0
2023-04-14,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.8069683042006747,18.685282602835496,0
2023-04-14,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.8412513754816653,11.00348863393204,899
2023-04-14,GlaxoSniffKline,Kids,White Star,0.9988870743753997,10.637074491511889,1527
2023-04-14,GlaxoSniffKline,Kids,Ninions,0.8744202925003128,16.194470708156818,651
2023-04-14,Precter & Jangle,Kids,Cwest HyperMan,0.925799552351858,16.597357598006877,289
2023-04-14,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-04-14,Smolgate-Jalmolive,Kids,Smolgate Total,0.8857126628525362,15.780460959552888,1243
2023-04-14,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,10.211607996680023,0
2023-04-21,GlaxoSniffKline,Adult,Parobontax,0.9214711662431024,10.81649357432267,2594
2023-04-21,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-04-21,Precter & Jangle,Adult,Cwest Pro-Heels,0.948749819377062,13.33771584439017,3265
2023-04-21,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,14.884239395041575,0
2023-04-21,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.83236933025697,19.619546732977273,0
2023-04-21,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.9970028688423624,11.00348863393204,1023
2023-04-21,GlaxoSniffKline,Kids,White Star,0.8934827838455042,10.637074491511889,1013
2023-04-21,GlaxoSniffKline,Kids,Ninions,0.9921315618961937,16.194470708156818,904
2023-04-21,Precter & Jangle,Kids,Cwest HyperMan,0.922936204557658,16.597357598006877,303
2023-04-21,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-04-21,Smolgate-Jalmolive,Kids,Smolgate Total,0.9107837646123216,15.780460959552888,1237
2023-04-21,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,10.211607996680023,0
2023-04-28,GlaxoSniffKline,Adult,Parobontax,0.8752973166312931,11.898142931754936,2437
2023-04-28,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-04-28,Precter & Jangle,Adult,Cwest Pro-Heels,0.9176258482002665,13.33771584439017,3443
2023-04-28,Precter & Jangle,Adult,Cwest Gum Detoxo,0.0,14.884239395041575,0
2023-04-28,Smolgate-Jalmolive,Adult,Smolgate Optic Wite,0.9632308189346271,18.685282602835496,0
2023-04-28,Smolgate-Jalmolive,Adult,Smolgate Sensotouch,0.8942693868537254,11.00348863393204,933
2023-04-28,GlaxoSniffKline,Kids,White Star,0.9788069403445192,11.700781940663077,1104
2023-04-28,GlaxoSniffKline,Kids,Ninions,0.9524032738090842,16.194470708156818,951
2023-04-28,Precter & Jangle,Kids,Cwest HyperMan,0.8661568126366904,16.597357598006877,293
2023-04-28,Precter & Jangle,Kids,Cwest Happy baby,0.0,17.4481843405561,0
2023-04-28,Smolgate-Jalmolive,Kids,Smolgate Total,0.8653103996597241,15.780460959552888,1263
2023-04-28,Smolgate-Jalmolive,Kids,Smolgate Baby Wish,0.0,10.211607996680023,0
2023-05-05,GlaxoSniffKline,Adult,Parobontax,0.9603802409554774,11.357318253038805,2766
2023-05-05,GlaxoSniffKline,Adult,Sensofyne Quick Relief,0.0,11.39116546459271,0
2023-05-05,Precter & Jangle,Adult,Cwest Pro-Heels,0.9028284904626936,13.33771584439017,3306
